Files already downloaded and verified
torch.Size([1024, 3, 32, 32]) torch.Size([1024])
--------------------------------------------------------------------------------
validating pair distance...
--------------------------------------------------------------------------------

step: 660, attack: 0.90, loss: 2.17, ce: 0.41, reg: 31.32, reg_best: 31.38  
step: 670, attack: 0.85, loss: 2.22, ce: 0.42, reg: 31.14, reg_best: 31.38  
step: 680, attack: 0.95, loss: 2.30, ce: 0.30, reg: 33.63, reg_best: 31.38  
step: 690, attack: 0.95, loss: 2.16, ce: 0.33, reg: 32.70, reg_best: 31.38  
step: 700, attack: 0.90, loss: 2.23, ce: 0.40, reg: 31.45, reg_best: 31.38  
step: 710, attack: 0.90, loss: 2.15, ce: 0.41, reg: 31.43, reg_best: 31.38  
step: 720, attack: 0.82, loss: 2.28, ce: 0.43, reg: 31.41, reg_best: 31.38  
step: 730, attack: 0.88, loss: 2.26, ce: 0.33, reg: 32.99, reg_best: 31.38  
step: 740, attack: 0.88, loss: 2.19, ce: 0.42, reg: 31.51, reg_best: 31.38  
step: 750, attack: 0.79, loss: 2.31, ce: 0.40, reg: 31.50, reg_best: 31.38  
step: 760, attack: 0.85, loss: 2.16, ce: 0.47, reg: 30.91, reg_best: 31.38  
step: 770, attack: 0.95, loss: 2.19, ce: 0.29, reg: 33.59, reg_best: 31.38  
step: 780, attack: 0.92, loss: 2.17, ce: 0.32, reg: 32.74, reg_best: 31.38  
step: 790, attack: 0.91, loss: 2.15, ce: 0.39, reg: 31.61, reg_best: 31.38  
step: 800, attack: 0.86, loss: 2.19, ce: 0.44, reg: 31.13, reg_best: 31.38  
step: 810, attack: 0.89, loss: 2.30, ce: 0.32, reg: 32.94, reg_best: 31.38  
step: 820, attack: 0.84, loss: 2.23, ce: 0.42, reg: 31.22, reg_best: 31.38  
step: 830, attack: 0.90, loss: 2.31, ce: 0.36, reg: 32.24, reg_best: 31.38  
step: 840, attack: 0.87, loss: 2.27, ce: 0.37, reg: 32.24, reg_best: 31.38  
step: 850, attack: 0.81, loss: 2.26, ce: 0.38, reg: 31.78, reg_best: 31.38  
step: 860, attack: 0.83, loss: 2.29, ce: 0.41, reg: 31.27, reg_best: 31.38  
step: 870, attack: 0.73, loss: 2.36, ce: 0.47, reg: 30.76, reg_best: 31.38  
step: 880, attack: 0.82, loss: 2.24, ce: 0.41, reg: 31.37, reg_best: 31.38  
step: 890, attack: 0.90, loss: 2.17, ce: 0.38, reg: 31.92, reg_best: 31.38  
step: 900, attack: 0.91, loss: 2.16, ce: 0.40, reg: 31.65, reg_best: 31.38  
step: 910, attack: 0.89, loss: 2.19, ce: 0.33, reg: 32.33, reg_best: 31.38  
step: 920, attack: 0.92, loss: 2.22, ce: 0.37, reg: 31.80, reg_best: 31.38  
step: 930, attack: 0.93, loss: 2.16, ce: 0.32, reg: 32.80, reg_best: 31.38  
step: 940, attack: 0.83, loss: 2.26, ce: 0.43, reg: 31.24, reg_best: 31.38  
step: 950, attack: 0.89, loss: 2.17, ce: 0.41, reg: 31.59, reg_best: 31.38  
step: 960, attack: 0.87, loss: 2.18, ce: 0.36, reg: 31.90, reg_best: 31.38  
step: 970, attack: 0.80, loss: 2.22, ce: 0.47, reg: 30.87, reg_best: 31.38  
step: 980, attack: 0.88, loss: 2.41, ce: 0.37, reg: 31.94, reg_best: 31.38  
step: 990, attack: 0.88, loss: 2.19, ce: 0.43, reg: 30.99, reg_best: 31.38  [2K
mask norm of pair 0-1: 93.54

step:   0, attack: 0.00, loss: 3.00, ce: 2.63, reg: 504.83, reg_best: inf  
step:  10, attack: 1.00, loss: 0.27, ce: 0.01, reg: 251.60, reg_best: 251.60  
step:  20, attack: 1.00, loss: 0.19, ce: 0.02, reg: 114.23, reg_best: 114.23  
step:  30, attack: 1.00, loss: 0.18, ce: 0.02, reg: 73.78, reg_best: 73.78  
step:  40, attack: 1.00, loss: 0.25, ce: 0.02, reg: 68.30, reg_best: 62.29  
step:  50, attack: 1.00, loss: 0.32, ce: 0.04, reg: 55.46, reg_best: 55.46  
step:  60, attack: 1.00, loss: 0.43, ce: 0.04, reg: 52.39, reg_best: 51.41  
step:  70, attack: 1.00, loss: 0.60, ce: 0.07, reg: 48.20, reg_best: 48.11  
step:  80, attack: 1.00, loss: 0.87, ce: 0.06, reg: 47.82, reg_best: 45.64  
step:  90, attack: 0.98, loss: 1.27, ce: 0.11, reg: 43.93, reg_best: 43.25  
step: 100, attack: 0.94, loss: 1.74, ce: 0.24, reg: 40.10, reg_best: 39.51  
step: 110, attack: 0.88, loss: 2.45, ce: 0.28, reg: 37.34, reg_best: 38.37  
step: 120, attack: 0.94, loss: 2.47, ce: 0.26, reg: 38.51, reg_best: 36.49  
step: 130, attack: 0.91, loss: 2.41, ce: 0.35, reg: 36.07, reg_best: 36.07  
step: 140, attack: 0.88, loss: 2.34, ce: 0.34, reg: 35.83, reg_best: 36.07  
step: 150, attack: 0.85, loss: 2.40, ce: 0.29, reg: 36.19, reg_best: 35.78  
step: 160, attack: 0.78, loss: 2.41, ce: 0.37, reg: 34.94, reg_best: 34.80  
step: 170, attack: 0.93, loss: 2.34, ce: 0.29, reg: 35.93, reg_best: 34.80  
step: 180, attack: 0.81, loss: 2.42, ce: 0.42, reg: 33.92, reg_best: 34.80  
step: 190, attack: 0.81, loss: 2.41, ce: 0.40, reg: 34.27, reg_best: 34.41  
step: 200, attack: 0.85, loss: 2.47, ce: 0.36, reg: 34.15, reg_best: 34.41  
step: 210, attack: 0.84, loss: 2.36, ce: 0.34, reg: 34.80, reg_best: 34.41  
step: 220, attack: 0.92, loss: 2.30, ce: 0.36, reg: 34.79, reg_best: 34.41  
step: 230, attack: 0.90, loss: 2.33, ce: 0.38, reg: 34.94, reg_best: 34.41  
step: 240, attack: 0.84, loss: 2.37, ce: 0.49, reg: 33.11, reg_best: 34.41  
step: 250, attack: 0.93, loss: 2.33, ce: 0.31, reg: 35.96, reg_best: 34.14  
step: 260, attack: 0.89, loss: 2.31, ce: 0.39, reg: 34.68, reg_best: 34.14  
step: 270, attack: 0.89, loss: 2.30, ce: 0.40, reg: 34.14, reg_best: 34.11  
step: 280, attack: 0.84, loss: 2.39, ce: 0.33, reg: 34.62, reg_best: 34.11  
step: 290, attack: 0.84, loss: 2.32, ce: 0.39, reg: 33.95, reg_best: 34.11  
step: 300, attack: 0.90, loss: 2.34, ce: 0.37, reg: 34.87, reg_best: 34.11  
step: 310, attack: 0.91, loss: 2.32, ce: 0.37, reg: 34.21, reg_best: 34.11  
step: 320, attack: 0.91, loss: 2.32, ce: 0.39, reg: 34.87, reg_best: 34.11  
step: 330, attack: 0.88, loss: 2.40, ce: 0.30, reg: 35.49, reg_best: 34.11  
step: 340, attack: 0.80, loss: 2.40, ce: 0.33, reg: 35.15, reg_best: 34.11  
step: 350, attack: 0.94, loss: 2.43, ce: 0.32, reg: 36.12, reg_best: 33.88  
step: 360, attack: 0.84, loss: 2.41, ce: 0.45, reg: 33.51, reg_best: 33.88  
step: 370, attack: 0.72, loss: 2.70, ce: 0.39, reg: 34.20, reg_best: 33.88  
step: 380, attack: 0.87, loss: 2.42, ce: 0.28, reg: 36.68, reg_best: 33.88  
